Fecha sistema,Fecha (DD/MM/AAAA),Nombre del índice,Índice,Variación absoluta,Variación porcentual
08/09/2026 12:56:07,2008-07-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,929.8104,-2.5442,-0.2729
08/09/2026 12:56:07,2008-07-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,917.5418,-12.2686,-1.3195
08/09/2026 12:56:07,2008-07-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,915.396,-2.1458,-0.2339
08/09/2026 12:56:07,2008-07-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,901.6055,-13.7905,-1.5065
08/09/2026 12:56:07,2008-07-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,899.9966,-1.6089,-0.1784
08/09/2026 12:56:07,2008-07-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,909.8346,9.838,1.0931
08/09/2026 12:56:07,2008-07-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,911.3152,1.4806,0.1627
08/09/2026 12:56:07,2008-07-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,919.1905,7.8753,0.8642
08/09/2026 12:56:07,2008-07-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,917.0862,-2.1043,-0.2289
08/09/2026 12:56:07,2008-07-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,922.5112,5.425,0.5915
08/09/2026 12:56:07,2008-07-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,926.0733,3.5621,0.3861
08/09/2026 12:56:07,2008-07-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,932.5914,6.5181,0.7038
08/09/2026 12:56:07,2008-07-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,921.9372,-10.6542,-1.1424
08/09/2026 12:56:07,2008-07-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,923.1687,1.2315,0.1336
08/09/2026 12:56:07,2008-07-30 00:00:00,Índice del mercado bursátil colombiano - COLCAP,935.3889,12.2202,1.3237
08/09/2026 12:56:07,2008-07-31 00:00:00,Índice del mercado bursátil colombiano - COLCAP,944.8652,9.4763,1.0131
08/09/2026 12:56:07,2008-08-01 00:00:00,Índice del mercado bursátil colombiano - COLCAP,943.2263,-1.6389,-0.1735
08/09/2026 12:56:07,2008-08-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,935.9788,-7.2475,-0.7684
08/09/2026 12:56:07,2008-08-05 00:00:00,Índice del mercado bursátil colombiano - COLCAP,936.9976,1.0188,0.1088
08/09/2026 12:56:07,2008-08-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,931.6128,-5.3848,-0.5747
08/09/2026 12:56:07,2008-08-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,937.9616,0.7031,0.075
08/09/2026 12:56:07,2008-08-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,934.1222,-3.8394,-0.4093
08/09/2026 12:56:07,2008-08-13 00:00:00,Índice del mercado bursátil colombiano - COLCAP,939.6853,5.5631,0.5955
08/09/2026 12:56:07,2008-08-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,938.2478,-1.4375,-0.153
08/09/2026 12:56:07,2008-08-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,944.9011,6.6533,0.7091
08/09/2026 12:56:07,2008-08-19 00:00:00,Índice del mercado bursátil colombiano - COLCAP,941.0236,-3.8775,-0.4104
08/09/2026 12:56:07,2008-08-20 00:00:00,Índice del mercado bursátil colombiano - COLCAP,948.7232,7.6996,0.8182
08/09/2026 12:56:07,2008-08-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,955.5048,6.7816,0.7148
08/09/2026 12:56:07,2008-08-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,955.7167,0.2119,0.0222
08/09/2026 12:56:07,2008-08-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,950.3273,-5.3894,-0.5639
08/09/2026 12:56:07,2008-08-26 00:00:00,Índice del mercado bursátil colombiano - COLCAP,952.6247,2.2974,0.2417
08/09/2026 12:56:07,2008-08-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,956.4317,3.807,0.3996
08/09/2026 12:56:07,2008-08-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,978.3928,21.9611,2.2961
08/09/2026 12:56:07,2008-08-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,992.2538,13.861,1.4167
08/09/2026 12:56:07,2008-09-01 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1025.0962,32.8424,3.3099
08/09/2026 12:56:07,2008-09-02 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1022.4518,-2.6444,-0.258
08/09/2026 12:56:07,2008-09-03 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1017.2419,-5.2099,-0.5095
08/09/2026 12:56:07,2008-09-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1005.9593,-11.2826,-1.1091
08/09/2026 12:56:07,2008-09-05 00:00:00,Índice del mercado bursátil colombiano - COLCAP,998.9458,-7.0135,-0.6972
08/09/2026 12:56:07,2008-09-08 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1010.7432,11.7974,1.181
08/09/2026 12:56:07,2008-09-09 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1010.5164,-0.2268,-0.0224
08/09/2026 12:56:07,2008-09-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1012.7638,2.2474,0.2224
08/09/2026 12:56:07,2008-09-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1025.8227,13.0589,1.2894
08/09/2026 12:56:07,2008-09-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1023.764,-2.0587,-0.2007
08/09/2026 12:56:07,2008-09-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1003.9248,-19.8392,-1.9379
08/09/2026 12:56:07,2008-09-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,967.4576,-36.4672,-3.6325
08/09/2026 12:56:07,2008-09-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,950.3935,-17.0641,-1.7638
08/09/2026 12:56:07,2008-09-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,949.6928,-0.7007,-0.0737
08/09/2026 12:56:07,2008-09-19 00:00:00,Índice del mercado bursátil colombiano - COLCAP,985.0866,35.3938,3.7269
08/09/2026 12:56:07,2008-09-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,983.0443,-2.0423,-0.2073
08/09/2026 12:56:07,2008-09-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,963.8319,-19.2124,-1.9544
08/09/2026 12:56:07,2008-09-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,976.2229,12.391,1.2856
08/09/2026 12:56:07,2008-09-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,989.6809,13.458,1.3786
08/09/2026 12:56:07,2008-09-26 00:00:00,Índice del mercado bursátil colombiano - COLCAP,983.869,-5.8119,-0.5872
08/09/2026 12:56:07,2008-09-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,960.9075,-22.9615,-2.3338
08/09/2026 12:56:07,2008-09-30 00:00:00,Índice del mercado bursátil colombiano - COLCAP,973.5342,12.6267,1.314
08/09/2026 12:56:07,2008-10-01 00:00:00,Índice del mercado bursátil colombiano - COLCAP,975.8289,2.2947,0.2357
08/09/2026 12:56:07,2008-10-02 00:00:00,Índice del mercado bursátil colombiano - COLCAP,965.8551,-9.9738,-1.0221
08/09/2026 12:56:07,2008-10-03 00:00:00,Índice del mercado bursátil colombiano - COLCAP,966.1444,0.2893,0.03
